question_number,title,coverage,score,question_weight,my_forecast,open_date,resolution_date,resolution_value,question_type
41665,What will be the ending value of the ICE BofA US High Yield Option-Adjusted Spread for these biweekly periods of Q1 2026? (Feb 2 - Feb 13),100.0%,-5.481,0.7,"[0.0257, 0.0266592789, 0.0276185578, 0.0285778367, 0.0295371156, 0.0304963945, 0.0314556734, 0.0324149523, 0.0333742312, 0.0343335101, 0.035292789, 0.0362520679, 0.0372113468, 0.0381706257, 0.0391299046, 0.0400891835, 0.0410484624, 0.0420077413, 0.0429670202, 0.0439262991, 0.044885578, 0.0458448569, 0.0468041358, 0.0477634147, 0.0487226936, 0.0496819725, 0.0506412514, 0.0516005303, 0.0584172351, 0.0663862126, 0.07435519, 0.0823241675, 0.090293145, 0.0982621225, 0.1064616989, 0.1148166558, 0.1231716127, 0.1315265697, 0.1398815266, 0.1482364835, 0.156938509, 0.1658280892, 0.1747176694, 0.1836072496, 0.1924968297, 0.2014264993, 0.2109767187, 0.2205269382, 0.2300771576, 0.239627377, 0.2491775964, 0.2593527304, 0.2696289168, 0.2799051033, 0.2901812898, 0.3004775934, 0.3114228454, 0.3223680974, 0.3333133494, 0.3442586014, 0.3554140409, 0.3667830732, 0.3781521054, 0.3895211377, 0.400887022, 0.412232143, 0.423577264, 0.4349223851, 0.4462675061, 0.4571774438, 0.4679485064, 0.478719569, 0.4894906315, 0.5001052951, 0.5098359844, 0.5195666736, 0.5292973628, 0.5390280521, 0.5486979847, 0.5571465449, 0.5655951051, 0.5740436652, 0.5824922254, 0.5909407855, 0.5991755571, 0.606331771, 0.6134879849, 0.6206441988, 0.6278004127, 0.6349566266, 0.6421128404, 0.6490221175, 0.6550231482, 0.661024179, 0.6670252097, 0.6730262404, 0.6790272712, 0.6850283019, 0.6910293326, 0.6970303634, 0.7021539027, 0.70719349, 0.7122330773, 0.7172726646, 0.7223122519, 0.7273518392, 0.7323914265, 0.7374310138, 0.7424706011, 0.7475009216, 0.7517722956, 0.7560436695, 0.7603150435, 0.7645864175, 0.7688577915, 0.7731291655, 0.7774005395, 0.7816719134, 0.7859432874, 0.7902146614, 0.7944860354, 0.7985715565, 0.8022428471, 0.8059141377, 0.8095854283, 0.8132567189, 0.8169280095, 0.8205993001, 0.8242705907, 0.8279418813, 0.8316131719, 0.8352844625, 0.8389557531, 0.8426270437, 0.8462983343, 0.8496605486, 0.8528692653, 0.856077982, 0.8592866987, 0.8624954154, 0.8657041321, 0.8689128488, 0.8721215656, 0.8753302823, 0.878538999, 0.8817477157, 0.8849564324, 0.8881651491, 0.8913738658, 0.8945825826, 0.8977811006, 0.900636969, 0.9034928375, 0.906348706, 0.9092045744, 0.9120604429, 0.9149163114, 0.9177721798, 0.9206280483, 0.9234839167, 0.9263397852, 0.9291956537, 0.9320515221, 0.9349073906, 0.9377632591, 0.9406191275, 0.943474996, 0.9463308644, 0.9483222034, 0.9491340096, 0.9499458157, 0.9507576218, 0.951569428, 0.9523812341, 0.9531930403, 0.9540048464, 0.9548166526, 0.9556284587, 0.9564402649, 0.957252071, 0.9580638771, 0.9588756833, 0.9596874894, 0.9604992956, 0.9613111017, 0.9621229079, 0.962934714, 0.9637465201, 0.9645583263, 0.9653701324, 0.9661819386, 0.9669937447, 0.9678055509, 0.968617357, 0.9694291631, 0.9702409693, 0.9710527754, 0.9718645816, 0.9726763877, 0.9734881939, 0.9743]",2026-01-19,2026-02-18,2.95,numeric
41520,Will there be at least one podium sweep at the 2026 Winter Olympic Games?,100.0%,-8.859,1.0,60.0%,2026-01-11,2026-02-10,yes,binary
41538,What will the first reported earnings per share after December 2025 be for the following companies? (MSFT),100.0%,-9.695,0.7,"[0.0257, 0.0263773288, 0.0270546576, 0.0277319864, 0.0284093152, 0.029086644, 0.0297639728, 0.0304413016, 0.0311186304, 0.0317959592, 0.032473288, 0.0331506168, 0.0338279456, 0.0345052744, 0.0351826032, 0.035859932, 0.0365372608, 0.0372145896, 0.0378919184, 0.0385692472, 0.039246576, 0.0399239048, 0.0406012336, 0.0412785624, 0.0419558912, 0.04263322, 0.0433105488, 0.0439878776, 0.0446652064, 0.0453425352, 0.046019864, 0.0466971928, 0.0473745216, 0.0480518504, 0.0487291792, 0.049406508, 0.0500838368, 0.0507611656, 0.0514384944, 0.0521158232, 0.0554269961, 0.06030699, 0.0651869839, 0.0700669778, 0.0749469717, 0.0798269656, 0.0847069595, 0.0895869534, 0.0944669473, 0.0993469412, 0.1044195393, 0.1097823087, 0.115145078, 0.1205078473, 0.1258706167, 0.131233386, 0.1365961553, 0.1419589247, 0.147321694, 0.1527378724, 0.1586315484, 0.1645252243, 0.1704189003, 0.1763125762, 0.1822062522, 0.1880999281, 0.1939936041, 0.19988728, 0.2061438919, 0.2125985052, 0.2190531186, 0.225507732, 0.2319623454, 0.2384169587, 0.2448715721, 0.2513261855, 0.2583026459, 0.2653160857, 0.2723295255, 0.2793429653, 0.2863564051, 0.2933698449, 0.3003832848, 0.30782459, 0.315347617, 0.3228706439, 0.3303936708, 0.3379166977, 0.3454397246, 0.3530551136, 0.3609811319, 0.3689071502, 0.3768331685, 0.3847591868, 0.3926852051, 0.4006112234, 0.4087679698, 0.4169350867, 0.4251022035, 0.4332693204, 0.4414364373, 0.4496035542, 0.4578080566, 0.466018092, 0.4742281274, 0.4824381628, 0.4906481981, 0.4988582335, 0.5069381542, 0.5149889667, 0.5230397792, 0.5310905916, 0.5391414041, 0.5471922166, 0.5550298368, 0.5627489942, 0.5704681516, 0.578187309, 0.5859064664, 0.5936256237, 0.6012537037, 0.6085207019, 0.6157877, 0.6230546982, 0.6303216963, 0.6375886945, 0.6448556926, 0.6519389936, 0.6586906784, 0.6654423632, 0.6721940481, 0.6789457329, 0.6856974177, 0.6924491025, 0.6992007873, 0.7054312266, 0.7116538335, 0.7178764403, 0.7240990471, 0.7303216539, 0.7365442607, 0.7427668675, 0.7489894743, 0.7547136524, 0.760428743, 0.7661438335, 0.7718589241, 0.7775740147, 0.7832891053, 0.7890041958, 0.7947192864, 0.8003126169, 0.805563013, 0.810813409, 0.8160638051, 0.8213142011, 0.8265645972, 0.8318149933, 0.8370653893, 0.8423157854, 0.8475661814, 0.8525026178, 0.8573413958, 0.8621801738, 0.8670189518, 0.8718577298, 0.8766965078, 0.8815352859, 0.8863740639, 0.8912128419, 0.8960516199, 0.9007314555, 0.9052146269, 0.9096977982, 0.9141809696, 0.9186641409, 0.9231473122, 0.9276304836, 0.9321136549, 0.9365968263, 0.9410799976, 0.945563169, 0.949109825, 0.9505092792, 0.9519087333, 0.9533081875, 0.9547076417, 0.9561070958, 0.95750655, 0.9589060042, 0.9603054583, 0.9617049125, 0.9631043667, 0.9645038208, 0.965903275, 0.9673027292, 0.9687021833, 0.9701016375, 0.9715010917, 0.9729005458, 0.9743]",2026-01-12,2026-02-05,5.16,numeric
41935,[Short fuse] What will be the Rotten Tomatoes Rating for \\,100.0%,-10.555,1.0,"[0.01088, 0.2008809526, 0.2216029785, 0.2427963705, 0.2644101249, 0.2863896049, 0.3086864145, 0.3312489226, 0.3540230338, 0.3769528291, 0.3999811158, 0.4230499154, 0.4461009143, 0.4690758995, 0.4919171985, 0.5145681457, 0.5369735968, 0.5590805192, 0.5808386899, 0.6022015467, 0.6231272472, 0.6435474421, 0.6634417193, 0.6827907459, 0.7015473707, 0.719660441, 0.7371755339, 0.7539654871, 0.7701253167, 0.785577193, 0.8003069981, 0.8143629423, 0.8277316784, 0.8404035261, 0.8523735516, 0.863643047, 0.8742215924, 0.884130006, 0.8934046852, 0.9021042245, 0.910319953, 0.9176824218, 0.924656254, 0.9311188414, 0.9369683501, 0.9424776564, 0.9474361323, 0.9519283451, 0.956420558, 0.9598603957, 0.9632540756, 0.9666477555, 0.9694030691, 0.9715774426, 0.9737518161, 0.9759261897, 0.9781005632, 0.9800455885, 0.9801435914, 0.9802415943, 0.9803395971, 0.9804376, 0.9805356029, 0.9806336058, 0.9807316086, 0.9808296115, 0.9809276144, 0.9810256173, 0.9811236202, 0.981221623, 0.9813196259, 0.9814176288, 0.9815156317, 0.9816136345, 0.9817116374, 0.9818096403, 0.9819076432, 0.9820056461, 0.9821036489, 0.9822016518, 0.9822996547, 0.9823976576, 0.9824956604, 0.9825936633, 0.9826916662, 0.9827896691, 0.982887672, 0.9829856748, 0.9830836777, 0.9831816806, 0.9832796835, 0.9833776863, 0.9834756892, 0.9835736921, 0.983671695, 0.9837696979, 0.9838677007, 0.9839657036, 0.9840637065, 0.9841617094, 0.9842597122, 0.9843577151, 0.984455718, 0.9845537209, 0.9846517237, 0.9847497266, 0.9848477295, 0.9849457324, 0.9850437353, 0.9851417381, 0.985239741, 0.9853377439, 0.9854357468, 0.9855337496, 0.9856317525, 0.9857297554, 0.9858277583, 0.9859257612, 0.986023764, 0.9861217669, 0.9862197698, 0.9863177727, 0.9864157755, 0.9865137784, 0.9866117813, 0.9867097842, 0.9868077871, 0.9869057899, 0.9870037928, 0.9871017957, 0.9871997986, 0.9872978014, 0.9873958043, 0.9874938072, 0.9875918101, 0.987689813, 0.9877878158, 0.9878858187, 0.9879838216, 0.9880818245, 0.9881798273, 0.9882778302, 0.9883758331, 0.988473836, 0.9885718389, 0.9886698417, 0.9887678446, 0.9888658475, 0.9889638504, 0.9890618532, 0.9891598561, 0.989257859, 0.9893558619, 0.9894538648, 0.9895518676, 0.9896498705, 0.9897478734, 0.9898458763, 0.9899438791, 0.990041882, 0.9901398849, 0.9902378878, 0.9903358907, 0.9904338935, 0.9905318964, 0.9906298993, 0.9907279022, 0.990825905, 0.9909239079, 0.9910219108, 0.9911199137, 0.9912179165, 0.9913159194, 0.9914139223, 0.9915119252, 0.9916099281, 0.9917079309, 0.9918059338, 0.9919039367, 0.9920019396, 0.9920999424, 0.9921979453, 0.9922959482, 0.9923939511, 0.992491954, 0.9925899568, 0.9926879597, 0.9927859626, 0.9928839655, 0.9929819683, 0.9930799712, 0.9931779741, 0.993275977, 0.9933739799, 0.9934719827, 0.9935699856, 0.9936679885, 0.9937659914, 0.9938639942, 0.9939619971, 0.99406]",2026-02-01,2026-02-14,11.0,numeric
41840,"What will the seasonally adjusted unemployment rate be in Australia, for the following months? (February 2026)",100.0%,-11.955,0.7,"[0.00594, 0.0063879013, 0.0068358026, 0.0072837039, 0.0077316052, 0.0081795065, 0.0086274078, 0.0090753091, 0.0095232104, 0.0099711117, 0.010419013, 0.0108669143, 0.0113148156, 0.0126930477, 0.0147316359, 0.0167702241, 0.0188088124, 0.0208474006, 0.0235923102, 0.0267765714, 0.0299608326, 0.0336242938, 0.037840748, 0.0421460158, 0.0473181416, 0.052637206, 0.0587050445, 0.0652144747, 0.0721942009, 0.0799095172, 0.0882306007, 0.097161491, 0.1067452275, 0.1170063823, 0.1279566275, 0.1395983778, 0.1519694612, 0.1651010535, 0.1789027137, 0.193443487, 0.2086766478, 0.2246214383, 0.2412109094, 0.2584757529, 0.2763667842, 0.2948402302, 0.3138641017, 0.3333984404, 0.3533971718, 0.3738094966, 0.3945809538, 0.4156542487, 0.4369699115, 0.4584676856, 0.4800854059, 0.5017544224, 0.5234110335, 0.5449916257, 0.5664329973, 0.5876680156, 0.6086351404, 0.6292788271, 0.6495432315, 0.6693757583, 0.6887280013, 0.7075569608, 0.7258266517, 0.7434707786, 0.7604805867, 0.7768527902, 0.7925271327, 0.8075032803, 0.821771826, 0.8353492707, 0.8481476222, 0.8602594517, 0.8716748728, 0.8823889965, 0.8924036352, 0.9017297461, 0.9103910387, 0.9184294888, 0.9259141401, 0.9328275166, 0.9390237846, 0.9449068163, 0.950078942, 0.954985929, 0.9592023832, 0.9634188374, 0.9667000048, 0.9698842661, 0.9730685273, 0.9753891135, 0.9774277018, 0.97946629, 0.9815048783, 0.9835434665, 0.9840577526, 0.9841558138, 0.9842538751, 0.9843519363, 0.9844499976, 0.9845480588, 0.9846461201, 0.9847441813, 0.9848422426, 0.9849403038, 0.9850383651, 0.9851364263, 0.9852344876, 0.9853325488, 0.9854306101, 0.9855286713, 0.9856267326, 0.9857247938, 0.9858228551, 0.9859209163, 0.9860189776, 0.9861170388, 0.9862151, 0.9863131613, 0.9864112225, 0.9865092838, 0.986607345, 0.9867054063, 0.9868034675, 0.9869015288, 0.98699959, 0.9870976513, 0.9871957125, 0.9872937738, 0.987391835, 0.9874898963, 0.9875879575, 0.9876860188, 0.98778408, 0.9878821413, 0.9879802025, 0.9880782638, 0.988176325, 0.9882743863, 0.9883724475, 0.9884705088, 0.98856857, 0.9886666313, 0.9887646925, 0.9888627538, 0.988960815, 0.9890588763, 0.9891569375, 0.9892549988, 0.98935306, 0.9894511213, 0.9895491825, 0.9896472438, 0.989745305, 0.9898433663, 0.9899414275, 0.9900394888, 0.99013755, 0.9902356113, 0.9903336725, 0.9904317338, 0.990529795, 0.9906278563, 0.9907259175, 0.9908239788, 0.99092204, 0.9910201013, 0.9911181625, 0.9912162238, 0.991314285, 0.9914123463, 0.9915104075, 0.9916084688, 0.99170653, 0.9918045913, 0.9919026525, 0.9920007138, 0.992098775, 0.9921968363, 0.9922948975, 0.9923929588, 0.99249102, 0.9925890813, 0.9926871425, 0.9927852038, 0.992883265, 0.9929813263, 0.9930793875, 0.9931774488, 0.99327551, 0.9933735713, 0.9934716325, 0.9935696938, 0.993667755, 0.9937658163, 0.9938638775, 0.9939619388, 0.99406]",2026-02-03,2026-03-20,4.247,numeric
42106,Will Alliance 90/The Greens (Bündnis 90/Die Grünen) win the most seats in the Baden-Württemberg Landtag election?,100.0%,-13.525,1.0,37.0%,2026-02-14,2026-03-10,no,binary
42098,"What will US airline passenger volume be for these weeks in February 2026, according to the TSA? (February 9, 2026-February 15, 2026)",100.0%,-14.535,0.7,"[0.01088, 0.0120561568, 0.0132323137, 0.0144084705, 0.0155846273, 0.0167607842, 0.017936941, 0.0191130978, 0.0202892547, 0.0214421121, 0.0225155375, 0.0235889628, 0.0246623882, 0.0257358136, 0.026809239, 0.0278826644, 0.0289560897, 0.0300295151, 0.0311029405, 0.0323694713, 0.033779937, 0.0351904027, 0.0366008685, 0.0380113342, 0.0394217999, 0.0408322656, 0.0423396945, 0.0440622141, 0.0457847338, 0.0475072534, 0.0492297731, 0.0509522927, 0.0527928177, 0.0548078131, 0.0568228084, 0.0588378038, 0.0608527991, 0.0629714585, 0.065262546, 0.0675536336, 0.0698447211, 0.0721358086, 0.0746800836, 0.0772330272, 0.0797859709, 0.0823437842, 0.0851459049, 0.0879480257, 0.0907501464, 0.0936543727, 0.096694178, 0.0997339833, 0.1028021846, 0.1060691196, 0.1093360545, 0.1126146765, 0.1160989467, 0.1195832169, 0.1231043103, 0.1267967515, 0.1304891927, 0.1342743039, 0.138166283, 0.1420582621, 0.1461210919, 0.1502044291, 0.1543691336, 0.1586360416, 0.1629206145, 0.1673636473, 0.1718066801, 0.1763935625, 0.1810055752, 0.1857287199, 0.1905028338, 0.1953693181, 0.2002988921, 0.2053133257, 0.2103919311, 0.215556877, 0.2207782769, 0.2260945867, 0.2314527169, 0.2369198021, 0.2424107959, 0.248024807, 0.253667554, 0.2594009885, 0.2651916314, 0.2710389733, 0.2769728989, 0.2829416487, 0.2890006829, 0.2951068333, 0.3012638434, 0.3075009851, 0.3137744973, 0.3201121388, 0.3265075903, 0.3329395034, 0.3394378316, 0.3459810741, 0.3525592503, 0.3591988192, 0.3658765097, 0.3725863356, 0.3793481169, 0.3861447069, 0.3929696371, 0.3998349502, 0.4067331703, 0.4136551578, 0.4206056066, 0.4275868544, 0.4345866994, 0.4416046297, 0.4486487724, 0.4557064107, 0.4627763294, 0.4698604989, 0.4769552478, 0.4840562234, 0.4911625972, 0.4982733729, 0.5053841848, 0.5124941387, 0.5196005125, 0.5266998438, 0.5337921251, 0.5408762946, 0.5479429207, 0.5549964392, 0.5620361469, 0.5690535627, 0.5760476255, 0.5830222542, 0.589972703, 0.5968872306, 0.6037771448, 0.6106423676, 0.6174582307, 0.6242448055, 0.6310025026, 0.637705533, 0.6443714713, 0.6510052321, 0.6575765836, 0.6641063032, 0.6706016768, 0.6770221217, 0.6834022392, 0.6897398808, 0.6959971359, 0.7022170844, 0.7083740945, 0.7144621012, 0.7205149337, 0.7264707756, 0.7323846086, 0.7382319505, 0.7440014994, 0.7497349339, 0.7553555654, 0.7609484584, 0.7664374114, 0.7718802702, 0.7772384004, 0.7825293898, 0.7877507897, 0.7928892921, 0.7979678976, 0.8029547327, 0.8078843067, 0.8127220021, 0.817496116, 0.822189242, 0.8268012546, 0.8313568445, 0.8357998773, 0.8402279594, 0.8444948673, 0.8487617752, 0.8528924852, 0.8569758224, 0.8610032155, 0.8648951946, 0.8687871737, 0.8725353334, 0.8762277746, 0.8799184889, 0.8834027591, 0.8868870292, 0.8903427393, 0.8936096742, 0.8968766091, 0.900129879, 0.9031696843, 0.9062094897, 0.909249295, 0.914282298, 0.91996]",2026-02-15,2026-02-18,16497437.0,numeric
42498,"Will Anthropic be a designated supply chain risk on May 1, 2026?",60.6%,-,1.0,39.0%,2026-03-07,,,binary
42327,"Will an IAEA Iran report mention new centrifuge cascade installation at Natanz or Fordow before May 1, 2026?",95.2%,-,1.0,12.5%,2026-03-07,,,binary
42328,"Will France have a cabinet reshuffle replacing more than two ministers before May 1, 2026?",72.6%,-,1.0,96.5%,2026-03-07,,,binary
42500,"Which range will the CBOE Volatility Index (VIX) close level fall in on April 30, 2026?",81.9%,-,1.0,Below 15.0: 11.3%; 15.0 to below 20.0: 29.0%; 20.0 to below 25.0: 28.3%; 25.0 or higher: 31.3%,2026-03-07,,,multiple_choice
42501,"What will the S\u0026P 500 index close level be on April 30, 2026?",83.1%,-,1.0,"[0.00594, 0.0061124586, 0.0062849172, 0.0064573759, 0.0066298345, 0.0068022931, 0.0069747517, 0.0071472104, 0.007319669, 0.0074921276, 0.0076645862, 0.0078370448, 0.0080095035, 0.0081819621, 0.0083544207, 0.0085268793, 0.008699338, 0.0088717966, 0.0090442552, 0.0092167138, 0.0093891724, 0.0095616311, 0.0097340897, 0.0099065483, 0.0100790069, 0.0102514656, 0.0104239242, 0.0105963828, 0.0107688414, 0.0109413, 0.0111137587, 0.0112862173, 0.0114586759, 0.0116311345, 0.0118035932, 0.0119760518, 0.0121485104, 0.012320969, 0.0124934276, 0.0126658863, 0.0128383449, 0.0136864375, 0.014882827, 0.0160792166, 0.0172756061, 0.0184719956, 0.0196683852, 0.0208647747, 0.0220611642, 0.0232849506, 0.0251418024, 0.0269986542, 0.028855506, 0.0307123578, 0.0325692096, 0.0347672632, 0.0372191578, 0.0396710525, 0.0421229471, 0.0448282625, 0.0478310867, 0.0508339108, 0.0538956202, 0.0574148085, 0.0609339969, 0.0645828976, 0.0685895251, 0.0725961527, 0.0769583088, 0.0814272419, 0.0861307408, 0.0910395946, 0.0961581793, 0.1014866639, 0.1070669938, 0.1127964745, 0.1188668586, 0.1250752128, 0.1315559224, 0.1382911809, 0.1452140343, 0.1523848688, 0.1598404212, 0.1675068141, 0.1753954931, 0.1835142588, 0.1919046556, 0.2005328127, 0.2093869621, 0.21846785, 0.227774519, 0.2373045822, 0.2470544455, 0.2570194903, 0.2671942235, 0.277572403, 0.2881471419, 0.2989109967, 0.3098560415, 0.3209739311, 0.3322585951, 0.3437125955, 0.3553113202, 0.3670449109, 0.3789033274, 0.3908763697, 0.4029632643, 0.415146544, 0.4274104259, 0.4397441201, 0.4521400681, 0.4645864538, 0.4770667875, 0.4895700223, 0.5020850916, 0.5145984196, 0.527098171, 0.5395732767, 0.5520072563, 0.5643894207, 0.5767108645, 0.5889607236, 0.6011201686, 0.6131780956, 0.6251299198, 0.6369652864, 0.6486739791, 0.6602368035, 0.6716433751, 0.6828929124, 0.69397636, 0.7048849794, 0.7156103951, 0.7261446484, 0.7364802598, 0.7466103035, 0.7565284946, 0.7662292936, 0.7757080308, 0.7849610562, 0.7939859212, 0.8027816007, 0.8113487659, 0.819690123, 0.8277943309, 0.8356167136, 0.8432140071, 0.8505975388, 0.8577683733, 0.8646161508, 0.8712731241, 0.8777538338, 0.8838805158, 0.8898656323, 0.895595113, 0.9010863327, 0.9064148173, 0.9114401507, 0.9163490045, 0.9209547432, 0.9254236763, 0.9296830979, 0.9336897254, 0.937696353, 0.9412369339, 0.9447561222, 0.9482194482, 0.9512222724, 0.9542250965, 0.9572279206, 0.9598108072, 0.9622627019, 0.9647145965, 0.9671664912, 0.969232313, 0.9710891648, 0.9729460166, 0.9748028684, 0.9766597202, 0.9783971995, 0.979593589, 0.9807899785, 0.9819863681, 0.9831827576, 0.9843791471, 0.9855755367, 0.9867719262, 0.9879683157, 0.9887411485, 0.9891843862, 0.9896276238, 0.9900708614, 0.990514099, 0.9909573366, 0.9914005743, 0.9918438119, 0.9922870495, 0.9927302871, 0.9931735248, 0.9936167624, 0.99406]",2026-03-07,,,numeric
42502,"Which range will the Henry Hub natural gas spot price (USD per MMBtu) fall in on April 30, 2026?",77.0%,-,1.0,Below 2.50: 17.7%; 2.50 to below 3.50: 58.2%; 3.50 to below 4.50: 19.7%; 4.50 or higher: 4.5%,2026-03-08,,,multiple_choice
42503,"Which range will the gold price (USD per troy ounce) fall in on April 30, 2026?",64.3%,-,1.0,Below 4800.00: 17.2%; 4800.00 to less than 5200.00: 36.5%; 5200.00 to less than 5800.00: 36.8%; greater than or equal to 5800.00: 9.5%,2026-03-08,,,multiple_choice
42475,Will Keiko Fujimori advance to the runoff in the 2026 Peruvian presidential election?,87.5%,-,1.0,57.5%,2026-03-08,,,binary
42329,"What will be the legal status of an EU PPWR delegated act on recyclability performance classes before May 1, 2026?",82.0%,-,1.0,No publication: 75.5%; Draft/published proposal only: 21.7%; Adopted but not in force: 1.8%; In force: 1.0%,2026-03-08,,,multiple_choice
42499,Will US existing home sales (seasonally adjusted annual rate) for March 2026 be at least 4.0 million?,79.4%,-,1.0,57.0%,2026-03-07,,,binary
42330,"Will Anthropic make Claude 5 available via a public API before May 1, 2026?",25.5%,-,1.0,12.7%,2026-03-09,,,binary
42505,"Will the U.S. Supreme Court grant certiorari in at least 10 new cases before May 1, 2026?",39.5%,-,1.0,92.0%,2026-03-09,,,binary
42506,"Will there be at least one INES Level 3 or higher event in 2026 listed by May 1, 2026?",30.7%,-,1.0,36.5%,2026-03-09,,,binary
42331,"Will the US President veto at least one bill before May 1, 2026?",55.9%,-,1.0,50.0%,2026-03-09,,,binary
42509,"Which range will the Europe Brent spot price (USD per barrel) fall in on April 30, 2026?",24.6%,-,1.0,Below 70.00: 6.2%; 70.00 to below 85.00: 22.8%; 85.00 to below 100.00: 44.5%; 100.00 or higher: 26.5%,2026-03-11,,,multiple_choice
42510,"Will ULA have at least one Vulcan launch attempt before May 1, 2026?",69.0%,-,1.0,11.9%,2026-03-11,,,binary
42504,"Will the U.S. Supreme Court issue at least 15 signed merits opinions in argued cases before May 1, 2026?",90.6%,-,1.0,66.5%,2026-03-08,,,binary
42326,"Will any Google Gemini model rank #1 on the LMSYS (LM Arena) leaderboard on May 1, 2026?",76.6%,-,0.8,39.0%,2026-03-06,,,binary
42325,"Will the US BIS publish a final rule tightening semiconductor-related export controls before May 1, 2026?",59.3%,-,1.0,26.0%,2026-03-06,,,binary
42511,"Will OpenSSL publish a HIGH or CRITICAL security advisory before May 1, 2026?",58.2%,-,1.0,74.5%,2026-03-13,,,binary
42302,Will Cloudflare experience another critical incident before May 2026?,88.9%,-,1.0,56.0%,2026-03-01,,,binary
42315,"Will any Google Gemini model rank #1 on the LMSYS (LM Arena) leaderboard on March 15, 2026?",54.6%,-,0.8,27.5%,2026-03-02,,,binary
42303,How many more (or fewer) seats will SDS win compared to GS in the 2026 Slovenian parliamentary election?,67.7%,-,1.0,Not Forecast,2026-03-02,,,discrete
42352,How much will Crude Oil Futures total price returns exceed S\u0026P 500 Futures's in these biweekly periods of Q1 2026? (Mar 16 - Mar 27),22.8%,-,0.7,"[0.01088, 0.0430056148, 0.0456466944, 0.048287774, 0.0507960773, 0.0523909958, 0.0539859142, 0.0555808326, 0.057175751, 0.0587706694, 0.0603655878, 0.0621193483, 0.0639313358, 0.0657433234, 0.067555311, 0.0693672985, 0.0712049082, 0.0732227723, 0.0752406364, 0.0772585004, 0.0792763645, 0.0813145603, 0.0835283323, 0.0857421043, 0.0879558764, 0.0901696484, 0.0924838982, 0.0948845426, 0.097285187, 0.0996858314, 0.1021462228, 0.104725441, 0.1073046592, 0.1098838774, 0.1125362692, 0.1152863606, 0.1180364521, 0.1207865436, 0.1236625119, 0.1265762716, 0.1294900313, 0.1324538497, 0.13552449, 0.1385951303, 0.1416730311, 0.144894121, 0.1481152109, 0.1513363009, 0.1546919916, 0.1580574084, 0.1614228252, 0.1649201503, 0.16842404, 0.171940159, 0.175576904, 0.1792136491, 0.1828934028, 0.1866575951, 0.1904217874, 0.1942687749, 0.1981551929, 0.2020535715, 0.2060571611, 0.2100607506, 0.214132047, 0.2182479043, 0.222382369, 0.2266057264, 0.2308290838, 0.2351353112, 0.2394615241, 0.2438364304, 0.2482609665, 0.2527077283, 0.2572261575, 0.2617468833, 0.2663548687, 0.2709628541, 0.2756440328, 0.2803373231, 0.2850898573, 0.2898642794, 0.2946879208, 0.2995393736, 0.3044332546, 0.3093577027, 0.3143204125, 0.3193138813, 0.3243435305, 0.3294021008, 0.3344963786, 0.3396161825, 0.3447724053, 0.3499496214, 0.3551647766, 0.3603956266, 0.3656664097, 0.3709471544, 0.376270003, 0.3815986063, 0.3869680625, 0.3923445899, 0.3977529246, 0.4031731792, 0.4086167773, 0.4140764085, 0.4195516785, 0.4250462013, 0.4305495727, 0.4360743854, 0.4416037727, 0.4471527068, 0.4527064171, 0.4582728418, 0.4638460053, 0.4694264092, 0.4750141003, 0.4806049809, 0.4862022312, 0.4918005517, 0.4974019024, 0.503003253, 0.5086046036, 0.514203958, 0.5198018194, 0.5253941573, 0.5309849527, 0.5365653565, 0.542142662, 0.5477090867, 0.5532679795, 0.5588169135, 0.5643525269, 0.5698804477, 0.575387985, 0.5808908341, 0.5863661041, 0.5918351196, 0.5972787177, 0.6027094207, 0.6081177554, 0.6135058024, 0.6188752585, 0.6242164604, 0.6295433963, 0.6348337401, 0.6401144848, 0.6453501568, 0.6505810068, 0.6557584196, 0.6609316534, 0.6660514573, 0.6711638783, 0.6762224487, 0.6812713872, 0.686264856, 0.6912480163, 0.6961724645, 0.7010879738, 0.7059394265, 0.7107858918, 0.7155603139, 0.720334736, 0.7250301775, 0.7297234678, 0.7343446171, 0.7389526025, 0.7434998635, 0.7480182927, 0.7524928746, 0.7569174108, 0.7613214498, 0.7656476628, 0.7699738757, 0.7742077232, 0.7784310807, 0.7825973972, 0.7867132546, 0.7908178154, 0.794821405, 0.7988249945, 0.8027580906, 0.8066445086, 0.8105277112, 0.8142919035, 0.8180560958, 0.8217736117, 0.8254103567, 0.8290471017, 0.8326025853, 0.836106475, 0.8396103647, 0.8430102459, 0.8463756627, 0.8497410795, 0.8529952068, 0.8562162968, 0.8594373867, 0.8630186875, 0.8667893437, 0.87056]",2026-03-02,,,numeric
