question_number,title,slug,question_type,status,resolution,community_forecast,community_range,my_forecast,my_range,mc_options,coverage,score,question_weight,forecaster_count,comment_count,tournament
41748,"Will there be any avian influenza human cases in China reported by the WHO before April 1, 2026?",will-there-be-any-avian-influenza-human-cases-in-china-reported-by-the-who-before-april-1-2026,binary,open,,65%,,41.3%,,,77.2%,,1.0,,,Tournaments
41749,What will be the monthly average CO2 concentration (in ppm) recorded at Mauna Loa Observatory for February 2026?,what-will-be-the-monthly-average-co2-concentration-in-ppm-recorded-at-mauna-loa-observatory-for-fe,numeric,open,,430 ppm,429 - 431,431,430 - 432,,56.7%,,1.0,,,Tournaments
41750,What will be the target Selic rate (in percent) established by Copom at its March 2026 meeting?,what-will-be-the-target-selic-rate-in-percent-established-by-copom-at-its-march-2026-meeting,numeric,open,,14.5%,14 - 14.9,14.7,14.4 - 15.1,,82.4%,,1.0,,,Tournaments
41751,In which region will Netflix have higher revenues in Q1 2026: Latin America or Asia-Pacific?,in-which-region-will-netflix-have-higher-revenues-in-q1-2026-latin-america-or-asia-pacific,multiple_choice,open,,,,,,APAC: 51.7% | LATAM: 43.2% | tie: 5.2%,96.6%,,1.0,,,Tournaments
41752,What will be the monthly average CO2 concentration (in ppm) recorded at Mauna Loa Observatory for March 2026?,what-will-be-the-monthly-average-co2-concentration-in-ppm-recorded-at-mauna-loa-observatory-for-ma,numeric,open,,431 ppm,429 - 432,432,431 - 433,,64.8%,,1.0,,,Tournaments
41753,How much will Netflix's revenue grow year-over-year in its Q1 2026 earnings report?,how-much-will-netflixs-revenue-grow-year-over-year-in-its-q1-2026-earnings-report,numeric,open,,15.2%,12.6 - 17.3,15.7,12.4 - 19,,88.2%,,1.0,,,Tournaments
41754,"Will Vladimir Putin cease to be the President of the Russian Federation before May 1, 2026?",will-vladimir-putin-cease-to-be-the-president-of-the-russian-federation-before-may-1-2026,binary,open,,5%,,6.1%,,,55.9%,,1.0,,,Tournaments
41755,"Will the Bank of Japan raise its policy interest rate again before May 1, 2026?",will-the-bank-of-japan-raise-its-policy-interest-rate-again-before-may-1-2026,binary,open,,60%,,58%,,,19.4%,,1.0,,,Tournaments
41756,"Before May 1, 2026, will the United States publicly accuse China of supplying lethal military aid to Russia?",before-may-1-2026-will-the-united-states-publicly-accuse-china-of-supplying-lethal-military-aid-to,binary,open,,15%,,21%,,,81.9%,,1.0,,,Tournaments
41757,"Will the FDA grant approval to Zilebesiran for the treatment of hypertension before May 1, 2026?",will-the-fda-grant-approval-to-zilebesiran-for-the-treatment-of-hypertension-before-may-1-2026,binary,open,,2%,,2.6%,,,31.4%,,1.0,,,Tournaments
41758,"Will North Korea conduct a nuclear test before May 1, 2026?",will-north-korea-conduct-a-nuclear-test-before-may-1-2026,binary,open,,20%,,19.8%,,,58.0%,,1.0,,,Tournaments
41759,"What will be the State Bank of Pakistan's target policy rate as of May 1, 2026?",what-will-be-the-state-bank-of-pakistans-target-policy-rate-as-of-may-1-2026,numeric,open,,10.3 percent,9.54 - 11.1,,,,,,1.0,,,Tournaments
41760,What will be the monthly average CO2 concentration (in ppm) recorded at Mauna Loa Observatory for April 2026?,what-will-be-the-monthly-average-co2-concentration-in-ppm-recorded-at-mauna-loa-observatory-for-ap,numeric,open,,432 ppm,430 - 433,,,,,,1.0,,,Tournaments
41835,"Will the US government enter a shutdown before February 1, 2026?",will-the-us-government-enter-a-shutdown-before-february-1-2026,group,resolved,Yes,,,,,,100.0%,40.187,1.0,,,Tournaments
41836,"What will the seasonally adjusted unemployment rate be in Australia, for the following months? (January 2026)",unemployment-in-australia,numeric,open,,4.2%,4.01 - 4.44,4.29,4.06 - 4.51,,82.7%,,0.7,,,Tournaments
41837,"Will any AI model achieve a score of 94% or higher on the GPQA Diamond Benchmark Leaderboard before February 1, 2026?",will-any-ai-achieve-94-on-gpqa-diamond-benchmark-leaderboard-by-feb-1-2026,group,open,,,,14.8%,,,78.6%,,1.0,,,Tournaments
41838,What will Alphabet's Q4 2025 constant-currency revenues be in these global regions? (EMEA),alphabets-q4-2025-revenues-in-these-regions,group,open,,,,,,,100.0%,1.761,0.7,,,Tournaments
41839,"Will the New START nuclear arms control agreement be renewed until at least February 5, 2027, before February 5, 2026?",new-start-renewed-until-february-2027,group,resolved,No,,,,,,,,1.0,,,Tournaments
41840,"What will the seasonally adjusted unemployment rate be in Australia, for the following months? (February 2026)",unemployment-in-australia,numeric,open,,4.2%,4 - 4.47,4.37,4.06 - 4.68,,83.0%,,0.7,,,Tournaments
41841,What will the United States score on the 2025 Corruption Perceptions Index?,what-will-us-score-on-2025-corruption-perceptions-index,numeric,open,,64,61 - 66,64,62 - 67,,68.6%,,1.0,,,Tournaments
41842,What will be the seasonally adjusted S&P/Case-Shiller US National Home Price Index in the following months? (Dec-25),us-national-home-price-index-monthly,numeric,open,,330,319 - 333,334,331 - 337,,52.8%,,0.7,,,Tournaments
41843,By how much will carbon dioxide emissions change from ground transportation globally between 2020 and 2025?,co2-emission-change-from-transport-2020-25,numeric,open,,8.77%,-2.28 - 18.1,7.39,,,97.1%,,1.0,,,Tournaments
41844,Will 95% or more of Nigerians have a bank account before 2025?,95-nigerian-financial-inclusion-by-2025,binary,open,,1%,,2.5%,,,73.6%,,1.0,,,Tournaments
41845,What will be the total median number of global under-5 child deaths reported in UNICEF's 2026 report for 2024?,global-under-5-child-deaths-for-2024,numeric,open,,4.67 Million deaths,4.52 - 4.86,4.68,4.55 - 4.81,,91.9%,,1.0,,,Tournaments
41846,"Will there be a successful coup in Africa or Latin America before March 1, 2026?",will-there-be-a-successful-coup-in-africa-or-latin-america-by-march-1-2026,binary,open,,15%,,13.5%,,,96.2%,,1.0,,,Tournaments
41848,"Before March 1, 2026, will Meta settle the lawsuit brought by state attorneys general alleging the platform(s) were designed to foster compulsive use by minors?",meta-settle-compulsive-use-by-minors-suit-by-2026,binary,open,,8%,,6.9%,,,92.8%,,1.0,,,Tournaments
41849,"Will OpenAI file an initial registration statement (S-1) with the SEC to launch an IPO, before March 15, 2026?",will-openai-file-an-s-1-before-march-15-2026,binary,open,,5%,,2.8%,,,94.5%,,1.0,,,Tournaments
41851,"Will a nuclear weapon be detonated in or above a European Union state before the following dates? (March 15, 2026)",will-a-nuclear-weapon-be-detonated-in-or-above-a-european-union-state-before-the-following-dates-march-15-2026,binary,open,,1%,,1.8%,,,92.5%,,0.7,,,Tournaments
41852,How many vehicles will Tesla report producing in 2025?,of-tesla-vehicle-production-in-2025,numeric,open,,1.69M vehicles,1.54M - 4M,,,,,,1.0,,,Tournaments
41853,"Will Arizona Senator Mark Kelly, who urged troops to defy ""illegal"" orders, be recalled to active duty in the US military before April 1, 2026?",will-sen-mark-kelly-be-recalled-to-active-duty-before-april-1-2026,binary,open,,6%,,,,,,,1.0,,,Tournaments
41854,What will be the seasonally adjusted S&P/Case-Shiller US National Home Price Index in the following months? (Jan-26),us-national-home-price-index-monthly,numeric,open,,330,316 - 334,,,,,,0.7,,,Tournaments
41855,"Will Tesla discontinue the Cybertruck before April 1, 2026?",will-tesla-discontinue-the-cybertruck-before-april-1-2026,group,pending_reveal,,,,,,,,,1.0,,,Tournaments
41871,What will be NVIDIA's forward guidance in their Q4 FY2026 earnings release? (GAAP Operating Expenses),nvda-earnings-guidance-for-q1-fy2027,numeric,open,,6.9B $,6.36B - 7.4B,6.96B,6.52B - 7.4B,,95.3%,,0.7,,,Tournaments
41875,"What will be Donald Trump's approval rating on February 14, 2026?",what-will-be-donald-trumps-approval-rating-on-february-14-2026,numeric,open,,40.4%,38.3 - 42.5,41.7,39.6 - 43.8,,11.1%,,1.0,,,Tournaments
41892,Will the Liberal Democratic Party win a majority in the 2026 Japanese general election?,ldp-wins-majority-in-2026-japan-election,group,resolved,Yes,,,,,,,,1.0,,,Tournaments
41893,Which party will win the most seats in the 2026 Nepali House of Representatives election?,which-party-will-win-the-most-seats-in-the-2026-nepali-election,multiple_choice,open,,,,,,Nepali Congress: 36.1% | Communist Party of Nepal (Unified Marxist-Leninist): 31.5% | Nepali Communist Party: 13.4%,,,1.0,,,Tournaments
41894,How many Oscars will Sinners win at the 2026 Academy Awards?,number-of-oscars-sinners-film-will-win,numeric,open,,6 Number of Oscars Won,4 - 9,5,3 - 7,,58.0%,,1.0,,,Tournaments
41895,How many runs will be scored in the knockout stage of the 2026 World Baseball Classic?,total-runs-in-knockout-stage-of-2026-wbc,numeric,open,,71 Runs,56 - 87,74,59 - 89,,60.7%,,1.0,,,Tournaments
41896,What is Egypt’s annual inflation rate (year-over-year percent change) for the Urban Consumer Price Index (Urban CPI) for March 2026?,what-is-egypts-annual-inflation-rate-year-over-year-percent-change-for-the-urban-consumer-price-i,numeric,open,,11.5%,9.64 - 13.4,12.5,10.1 - 15,,18.4%,,1.0,,,Tournaments
41897,"Will the Zaporizhzhia Nuclear Power Plant experience another complete loss of external power before May 1, 2026?",will-the-zaporizhzhia-nuclear-power-plant-experience-another-complete-loss-of-external-power-before,binary,open,,61%,,46.8%,,,28.8%,,1.0,,,Tournaments
41898,"Will SpaceX conduct 2 or more orbital Starship launch attempts before May 1, 2026?",will-spacex-conduct-2-or-more-orbital-starship-launch-attempts-before-may-1-2026,binary,open,,40%,,60.6%,,,73.1%,,1.0,,,Tournaments
41899,How many vehicle deliveries will Rivian report for Q1 2026?,how-many-vehicle-deliveries-will-rivian-report-for-q1-2026,numeric,open,,9853 Vehicles,7893 - 12.5k,11.5k,8808 - 14.2k,,92.2%,,1.0,,,Tournaments
41900,"Will OpenAI release a model named 'GPT-6' for general public availability before May 1, 2026?",will-openai-release-a-model-named-gpt-6-for-general-public-availability-before-may-1-2026,binary,open,,12%,,12.4%,,,25.4%,,1.0,,,Tournaments
41901,"Will the U.S. impose new secondary sanctions related to Russian oil exports before May 1, 2026?",will-the-us-impose-new-secondary-sanctions-related-to-russian-oil-exports-before-may-1-2026,binary,open,,40%,,,,,,,1.0,,,Tournaments
41902,"What will be the UK Consumer Prices Index (CPI) 12-month rate (year-over-year percent change) for March 2026, as reported by the UK Office for National Statistics (ONS)?",uk-consumer-prices-index-cpi-12-month-rate,numeric,open,,2.9%,2.3 - 3.6,,,,,,1.0,,,Tournaments
41903,"Will Russia and Ukraine sign a ceasefire agreement before May 1, 2026?",will-russia-and-ukraine-sign-a-ceasefire-agreement-before-may-1-2026,group,open,,,,,,,,,1.0,,,Tournaments
41904,Will the Tisza Party win more parliamentary seats than Fidesz–KDNP in Hungary’s 2026 parliamentary election?,will-the-tisza-party-win-more-parliamentary-seats-than-fideszkdnp-in-hungarys-2026-parliamentary-e,binary,open,,46%,,,,,,,1.0,,,Tournaments
41905,What will be the reported Q1 2026 global revenue for Zepbound (tirzepatide)?,what-will-be-the-reported-q1-2026-global-revenue-for-zepbound-tirzepatide,numeric,open,,4.44B $,3.44B - 5.76B,4.37B,3.38B - 5.37B,,72.3%,,1.0,,,Tournaments
41906,"Will the Trump administration initiate another process to significantly reduce federal funding to New York City before May 1, 2026?",will-the-trump-administration-initiate-another-process-to-significantly-reduce-federal-funding-to-ne,binary,open,,40%,,48.5%,,,66.8%,,1.0,,,Tournaments
41907,How many vehicles will Tesla deliver globally in Q1 2026?,how-many-vehicles-will-tesla-deliver-globally-in-q1-2026,numeric,open,,365k Vehicles,323k - 417k,,,,,,1.0,,,Tournaments
41908,"Will the WHO Director-General declare a PHEIC for H5N1 before May 1, 2026?",will-the-who-director-general-declare-a-pheic-for-h5n1-before-may-1-2026,binary,open,,8%,,11.4%,,,57.4%,,1.0,,,Tournaments
41909,What will be the reported Q1 2026 global revenue for Mounjaro?,what-will-be-the-reported-q1-2026-global-revenue-for-mounjaro,numeric,open,,7.1B $,5.85B - 8.43B,7.58B,6.32B - 8.84B,,96.7%,,1.0,,,Tournaments
41910,What will be Namibia's annual inflation rate for March 2026?,what-will-be-namibias-annual-inflation-rate-for-march-2026,numeric,open,,3.73%,2.96 - 4.67,4.93,3.76 - 6.1,,73.8%,,1.0,,,Tournaments
41935,"[Short fuse] What will be the Rotten Tomatoes Rating for ""Melania"" on February 13th, 2026?",melanias-rotten-tomatoes-rating,numeric,open,,11.5 Percent,<10 - 17.8,15.7,11.3 - 20.7,,69.4%,,1.0,,,Tournaments
42028,Which Party will win the 2026 Gorton and Denton by-election?,2026-gorton-and-denton-winner,multiple_choice,open,,,,,,Reform UK: 32.6% | Labour Party: 31.8% | Green Party: 31.1%,53.9%,,1.0,,,Tournaments
42029,What will be the highest price of silver per troy ounce in April 2026?,highest-price-of-silver-in-april-2026,numeric,open,,90.6 Price per troy ounce,72.1 - 112,91.5,71.7 - 111,,80.3%,,1.0,,,Tournaments
42036,"What will be the upper bound of the Federal Funds Target Range on February 28, 2026?",what-will-be-the-upper-bound-of-the-federal-funds-target-range-on-february-28-2026,numeric,open,,3.74 percent,3.44 - 3.95,3.72,3.48 - 3.96,,91.2%,,1.0,,,Tournaments
42037,What will be the US national average price for regular gasoline (dollars per gallon) for the month of February 2026?,what-will-be-the-us-national-average-price-for-regular-gasoline-dollars-per-gallon-for-the-month-o,numeric,open,,2.91 USD/gallon,2.77 - 3.09,2.95,2.73 - 3.17,,81.8%,,0.5,,,Tournaments
42038,What will the Ifo Business Climate Index level (points) for Germany be for February 2026?,ifo-business-climate-index-level-points-for-germany,numeric,open,,87.6 Points,86.1 - 89.2,87.5,86.1 - 88.8,,80.1%,,1.0,,,Tournaments
42039,"What will be the upper bound of the Federal Funds Target Range on March 31, 2026?",what-will-be-the-upper-bound-of-the-federal-funds-target-range-on-march-31-2026,numeric,open,,3.72 percent,3.46 - 4.08,3.7,3.45 - 3.96,,47.4%,,1.0,,,Tournaments
42040,What will the Ifo Business Climate Index level (points) for Germany be for March 2026?,business-climate-index-level-points-for-germany,numeric,open,,87.8 Points,85.4 - 90,88,86.3 - 89.7,,76.6%,,1.0,,,Tournaments
42041,Will the average daily price of kerosene jet fuel in the US Gulf Coast be greater than $2.50 per gallon in February 2026?,will-the-average-daily-price-of-kerosene-jet-fuel-in-the-us-gulf-coast-be-greater-than-250-per-gal,binary,open,,20%,,,,,,,1.0,,,Tournaments
42042,What will the seasonally adjusted U-3 unemployment rate (percent) be in the United States for March 2026?,what-will-the-seasonally-adjusted-u-3-unemployment-rate-percent-be-in-the-united-states-for-march,numeric,open,,4.45%,4.22 - 4.7,4.54,4.26 - 4.82,,10.0%,,1.0,,,Tournaments
42043,What will be the US national average price for regular gasoline (dollars per gallon) for the month of March 2026?,what-will-be-the-us-national-average-price-for-regular-gasoline-dollars-per-gallon-for-the-month-o,numeric,open,,2.99 USD/gallon,2.8 - 3.24,2.97,2.69 - 3.26,,37.1%,,0.5,,,Tournaments
42044,Will Ofcom publish at least one enforcement decision under the UK Online Safety Act that includes a monetary penalty amount?,will-ofcom-publish-at-least-one-enforcement-decision-under-the-uk-online-safety-act-that-includes-a,binary,open,,85%,,87%,,,73.2%,,1.0,,,Tournaments
42045,"Will WHO publish an update indicating at least one additional country or territory has been certified malaria-free, before May 1, 2026?",will-who-publish-an-update-indicating-at-least-one-additional-country-or-territory-has-been-certifie,binary,open,,25%,,36.5%,,,53.6%,,1.0,,,Tournaments
42046,Will the European Commission’s AI Office publish a revised draft (a new version) of the general-purpose AI (GPAI) code of practice?,will-the-european-commissions-ai-office-publish-a-revised-draft-a-new-version-of-the-general-purp,group,pending_reveal,,,,13.3%,,,34.0%,,1.0,,,Tournaments
42077,"How many MPs will Reform UK have on May 7, 2026?",reform-uk-mps-on-may-7-2026,numeric,open,,10 MPs,8 - 13,13,9 - 17,,66.1%,,1.0,,,Tournaments
42078,"Will Iran's Internet not be ""heavily filtered/whitelisted"" for most users before May 2026?",irans-internet-not-be-heavily-filteredwhitelisted-before-may-2026,binary,open,,15%,,19%,,,95.1%,,1.0,,,Tournaments
